"Folder","Name","Size_MB","Duration_Min"
"APT","02-Phonics.mp4","1115.64","17.75"
"APT","02-SubtractLine.mp4","169.94","4.85"
"APT","04-RulesChar.mp4","634.42","17.45"
"APT","04-RulesDebate.mp4","549.87","12.17"
"APT","05-Dinosaurs.mp4","204.85","11.11"
"APT","05-Elena.mp4","188.79","10.24"
"APT","05-Fractions.mp4","585.33","16.19"
"APT","05-Pioneer.mp4","189.09","10.26"
"APT","05-Seeds.mp4","339.8","18.94"
"APT","05-Titanic.mp4","188.18","10.15"
"APT","05-VolumeDefine.mp4","277.1","7.78"
"APT","06-IndianRemoval.mp4","1240.78","12.04"
"APT","06-JohnBrown.mp4","1338.78","15.22"
"APT","06-Pocahontas.mp4","756.98","7.43"
"APT","06-RitaDove.mp4","1921.72","15.66"
"APT","07-Calorimeter.mp4","745.16","11.94"
"APT","07-Change.mp4","235.95","13.21"
"APT","07-Game.mp4","1899.14","14.11"
"APT","07-Homestead.mp4","1267.19","14.88"
"APT","08-Crosstown.mp4","1136.56","14.12"
"APT","08-Payment.mp4","269.91","10.9"
"APT","08-Suicide.mp4","698.77","11.28"
"APT","09-Islamic.mp4","1524.02","11.77"
"APT","0K-Decompose.mp4","877.44","14.13"
"APT","0K-MoreLess.mp4","173.62","4.94"
"APT","10-Revolutions.mp4","640.25","15.52"
"APT","10-ThomasHobbes.mp4","1948.68","14.41"
"APT","11-CarValue.mp4","1966.57","14.39"
"APT","11-HotPacks.mp4","193.42","10.43"
"APT","11-PolynomialsB.mp4","1222.87","9.11"
"APT","11-PolynomialsC.mp4","1666.71","12.28"
"APT","11-WaltWhitman.mp4","1171.32","9.59"
"Bradford","14.mp3","68.55","59.9"
"Bradford","15.mp3","56.35","61.55"
"Bradford","16.mp3","53.16","58.07"
"Bradford","17.mp3","13.86","15.13"
"Bradford","18.mp3","53.89","58.86"
"Bradford","19.mp3","56.9","62.14"
"Bradford","20.mp3","57.12","62.39"
"CarlaJim","class3.mp4","45.2","9.47"
"CarlaJim","class4.mp4","44.22","9.47"
"CarlaJim","class5.mp4","44.86","9.47"
"CarlaJim","class6.mp4","23.83","5.08"
"CarlaJim","garden1.mp4","44.28","9.47"
"CarlaJim","garden2.mp4","44.83","9.47"
"CarlaJim","group3.mp4","44.5","9.47"
"CarlaJim","group4.mp4","43.14","9.47"
"CarlaJim","pat1.mp4","28.24","5.83"
"CarlaJim","pat4.mp4","44.54","9.47"
